Gyroscope self-test executed 1000 times, average result taken for each axis. (Success under 14)




X = 2.55069 :  Y = -2.4728 :  Z = 0.368116
X = 3.77937 :  Y = -0.845957 :  Z = 2.35119
X = 1.91302 :  Y = -2.81443 :  Z = 2.45807
X = 3.32834 :  Y = -0.878494 :  Z = 2.13745
X = 1.80414 :  Y = -3.28622 :  Z = 2.86181
X = 1.61751 :  Y = -3.38383 :  Z = 2.23245
X = 3.1417 :  Y = -0.569394 :  Z = 2.12557
X = 3.54608 :  Y = -0.683273 :  Z = 2.37494
X = 3.54608 :  Y = -0.195221 :  Z = 2.39869
X = 2.3796 :  Y = -2.24504 :  Z = 0.332492
X = 1.77304 :  Y = -3.02592 :  Z = 2.26807
X = 3.32834 :  Y = -0.585663 :  Z = 2.00683
X = 3.65495 :  Y = -0.0813421 :  Z = 1.85246
X = 0.544354 :  Y = -0.0488052 :  Z = 0.189995
X = 3.04838 :  Y = -1.07372 :  Z = 1.87621
X = 3.54608 :  Y = -0.536858 :  Z = 1.85246
X = 1.91302 :  Y = -2.84697 :  Z = 2.87368
X = 3.25057 :  Y = -0.0488052 :  Z = 2.08995
X = 3.46831 :  Y = -1.00864 :  Z = 1.89995
X = 1.69527 :  Y = -3.4001 :  Z = 2.83806
X = 3.06394 :  Y = -0.894763 :  Z = 2.31557
X = 3.49942 :  Y = -4.00203 :  Z = 2.44619
X = 2.0841 :  Y = -3.33502 :  Z = 2.38682
X = 2.93951 :  Y = -1.2852 :  Z = 2.03058
X = 2.55069 :  Y = -1.69191 :  Z = 0.486863
X = 3.84158 :  Y = -0.195221 :  Z = 2.31557
X = 3.26612 :  Y = -0.959836 :  Z = 1.51996
X = 3.26612 :  Y = -0.911031 :  Z = 2.24432
X = 0.886519 :  Y = -2.48907 :  Z = 1.10435
X = 3.53052 :  Y = -1.2852 :  Z = 1.78121
X = 3.25057 :  Y = -0.797152 :  Z = 1.31809
X = 1.47753 :  Y = -3.48144 :  Z = 2.42244
X = 2.47292 :  Y = -1.82206 :  Z = 1.25872
X = 3.95046 :  Y = -0.488052 :  Z = 2.52932
